code_tm,championnat,pays,valeur_marchande_eur,valeur_marchande_moy_equipe_eur,nb_equipes,nb_joueurs,buts_par_match_2025_26,buts_par_match_2024_25,buts_par_match_2023_24,buts_par_match_2022_23,buts_par_match_2021_22
ZYP1,First Division,Chypre,149850000,10703571,14,399,3.617,2.648,2.874,2.304,2.288
LI1,A Lyga,Lituanie,43650000,4365000,10,252,2.509,2.661,2.35,2.394,2.617
LET1,Virsliga,Lettonie,45930000,4593000,10,270,2.84,2.967,3.078,2.906,2.978
EST1,Meistriliiga,Estonie,28140000,2814000,10,260,3.3,3.178,2.994,2.544,3.05
ALB1,Kategoria Superiore,Albanie,49410000,4941000,10,275,2.141,2.217,2.283,2.217,2.267
AZ1,Premier League,Azerbaïdjan,123430000,10285833,12,307,2.568,2.4,2.617,2.639,2.598
BOS1,Premijer Liga,Bosnie-Herzégovine,57850000,5785000,10,297,2.132,2.657,2.783,2.47,2.278
MAL1,Premier League,Malte,52500000,3750000,0,0,2.429,2.429,2.429,2.643,2.697
FI1,Veikkausliiga,Finlande,39550000,3295833,12,312,2.4,3.28,2.992,2.492,2.909
GE1N,Erovnuli Liga,Géorgie,29540000,2954000,10,261,2.24,2.694,2.583,3.15,2.739
NIR1,Premiership,Irlande du Nord,28890000,2407500,12,311,2.843,2.449,3.076,2.884,2.768
ISR1,Ligat Ha'AL,Israël,167900000,11992857,14,383,3.095,2.714,2.516,2.566,2.462
LUX1,National Division,Luxembourg,26140000,1633750,16,439,2.856,2.987,3.125,3.342,3.212
WAL1,Cymru Premier,Pays de Galles,13960000,1163333,12,264,2.896,3.01,2.948,3.073,2.938
SLO1,Niké Liga,Slovaquie,109560000,9130000,12,336,2.932,2.705,2.78,2.689,2.659
SL1,Prva Liga,Slovénie,65950000,6595000,10,244,3.114,2.767,2.806,2.539,2.539
GB2,EFL Championship,Angleterre,2140000000,89166666,24,685,2.605,2.451,2.681,2.431,2.509
IT2,Serie B,Italie,613400000,30670000,20,588,2.543,2.466,2.521,2.345,2.479
ES2,Segunda División,Espagne,570200000,25918181,22,581,2.64,2.53,2.249,2.017,2.429
FR2,Ligue 2,France,457830000,25435000,18,479,2.519,2.578,2.461,2.411,2.284
L2,2. Bundesliga,Allemagne,606230000,33679444,18,529,2.92,3.023,3.095,2.944,2.915
PO2,Liga Portugal 2,Portugal,182730000,10151666,18,507,2.435,2.513,2.448,2.637,2.484
GB3,EFL League One,Angleterre,282280000,11761666,24,663,2.63,2.585,2.585,2.562,2.697
IT3A,Serie C Girone A,Italie,106800000,5340000,20,564,2.339,2.297,2.229,2.326,2.192
IT3B,Serie C Girone B,Italie,94560000,4976842,19,523,2.26,2.361,2.408,2.261,2.434
IT3C,Serie C Girone C,Italie,120830000,6041500,20,555,2.487,2.461,2.355,2.374,2.412
E3G1,Primera Federación Grupo I,Espagne,152180000,7609000,20,492,2.385,2.447,2.145,2.268,2.387
E3G2,Primera Federación Grupo II,Espagne,107850000,5392500,20,506,2.164,2.376,2.268,2.129,2.411
FR3,Championnat National,France,74950000,4408823,17,423,2.383,2.393,2.546,2.507,2.497
L3,3. Liga,Allemagne,166050000,8302500,20,588,3.154,2.903,2.805,2.916,2.781
BRA1,Brasileirão Série A,Brésil,1940000000,97000000,20,658,2.614,2.524,2.445,2.489,2.382
ARG1,Primera División,Argentine,965830000,32194333,30,913,2.034,2.3,2.034,2.034,2.034
MLS1,MLS,États-Unis,1390000000,46333333,30,859,3.157,3.02,3.082,2.753,2.966
MEX1,Liga MX,Mexique,925630000,51423888,18,473,2.739,2.856,2.987,2.824,2.529
COL1,Liga BetPlay,Colombie,316449999,15822499,0,0,2.485,2.485,2.179,2.22,2.345
PR1A,Primera División Apertura,Paraguay,136780000,11398333,12,370,2.455,2.182,2.568,2.402,2.545
CLPD,Primera División,Chili,161360000,10085000,16,421,2.724,2.646,2.767,2.75,2.567
EC1N,LigaPro Serie A,Équateur,162070000,10129375,16,446,2.054,2.533,2.054,2.054,2.054
BRA2,Brasileirão Série B,Brésil,227780000,11389000,20,643,2.175,2.218,2.189,2.095,1.992
SA1,Saudi Pro League,Arabie Saoudite,1130000000,62777777,18,502,3.015,2.948,2.971,2.7,2.654
JAP1,J1 League,Japon,354010000,17700500,20,697,,2.397,2.666,2.539,2.52
RSK1,K League 1,Corée du Sud,122650000,10220833,12,435,2.379,2.711,2.991,2.515,2.566
AUS1,A-League,Australie,105250000,8770833,12,378,2.865,,,3.058,2.917
CSL,Chinese Super League,Chine,165510000,10344375,16,513,2.944,,,2.775,2.859
MAR1,Botola Pro,Maroc,146520000,9157500,16,498,2.153,,,,
ALG1,Ligue Professionnelle 1,Algérie,98180000,6136250,16,420,2.179,,,,
SFA1,Premier Division,Afrique du Sud,155130000,9695625,16,575,2.01,,,,
