Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 22 🏆@@24279,:fr: FRA,86.4,3.0,37.3172,:iq: IRQ,2.1,0.3,11.5,2-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:dz: ALG,57.4,1.8,37.3172,:jo: JOR,17.0,0.9,25.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:no: NOR,46.2,1.5,46.89425,:sn: SEN,24.9,1.0,28.9,0-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:ar: ARG,75.8,2.5,37.3172,:at: AUT,6.6,0.6,17.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:hr: CRO,56.9,1.8,37.3172,:pa: PAN,17.0,0.9,26.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:co: COL,70.8,2.1,21.34143,:cd: COD,7.8,0.5,21.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:gb-eng: ENG,85.0,2.9,37.3172,:gh: GHA,2.5,0.3,12.5,2-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:pt: POR,77.7,2.5,37.3172,:uz: UZB,5.5,0.5,16.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:br: BRA,67.9,2.1,37.3172,:gb-sct: SCO,10.2,0.7,21.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:kr: KOR,45.5,1.3,21.34143,:za: RSA,23.4,0.9,31.1,0-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ma: MAR,65.3,1.9,37.3172,:ht: HAI,11.1,0.6,23.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ba: BIH,67.7,2.3,37.3172,:qa: QAT,11.4,0.8,20.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:mx: MEX 🏡,68.7,2.0,21.34143,:cz: CZE,8.8,0.6,22.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ca: CAN 🏡,36.8,1.2,46.89425,:ch: SUI,32.6,1.2,30.6,0-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:nl: NED,76.0,2.4,37.3172,:tn: TUN,6.2,0.5,17.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:us: USA 🏡,34.2,1.3,37.3172,:tr: TUR,37.4,1.4,28.4,0-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:ci: CIV,66.6,2.1,37.3172,:cw: CUW,11.0,0.7,22.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:jp: JPN,50.6,1.8,37.3172,:se: SWE,23.2,1.1,26.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:py: PAR,49.1,1.5,37.3172,:au: AUS,21.1,0.9,29.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:de: GER,49.6,1.8,37.3172,:ec: ECU,24.2,1.2,26.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:sa: KSA,33.2,1.0,37.3172,:cv: CPV,33.4,1.0,33.4,0-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:es: ESP,62.6,1.9,21.34143,:uy: URU,13.2,0.7,24.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:fr: FRA,51.9,1.8,37.3172,:no: NOR,21.9,1.1,26.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:sn: SEN,70.1,2.0,46.89425,:iq: IRQ,7.6,0.5,22.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:be: BEL,81.2,2.8,46.89425,:nz: NZL,4.4,0.5,14.4,2-0,9,FIFA 2026 World Cup: Group Stage
June 26 🏆@@24283,:eg: EGY,40.1,1.3,37.3172,:ir: IRN,29.1,1.1,30.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:ar: ARG,88.3,3.2,37.3172,:jo: JOR,1.6,0.3,10.1,2-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:gb-eng: ENG,78.3,2.5,37.3172,:pa: PAN,5.0,0.5,16.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:hr: CRO,69.0,2.1,37.3172,:gh: GHA,9.5,0.6,21.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:cd: COD,41.1,1.4,37.3172,:uz: UZB,29.3,1.1,29.6,0-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:at: AUT,45.1,1.6,37.3172,:dz: ALG,28.0,1.3,27.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 27 🏆@@24284,:pt: POR,35.8,1.2,37.3172,:co: COL,33.4,1.2,30.9,0-0,9,FIFA 2026 World Cup: Group Stage
May 27@@24253,:jm: JAM,77.7,2.5,52.5,:in: IND,5.4,0.5,17.0,1-0,2,Unity Cup
May 28@@24254,:eg: EGY 🏡,41.0,1.4,29.58415,:ru: RUS,29.1,1.1,29.9,0-0,1,Friendly
May 28@@24254,:ie: IRL 🏡,71.7,2.2,53.13107,:qa: QAT,8.1,0.6,20.3,1-0,1,Friendly
May 29@@24255,:iq: IRQ,70.1,2.0,39.58596,:ad: AND,7.5,0.5,22.4,1-0,1,Friendly
May 29@@24255,:ba: BIH 🏡,50.5,1.7,44.33118,:mk: MKD,22.7,1.1,26.8,1-0,1,Friendly
May 29@@24255,:co: COL 🏡,77.9,2.5,5.939079,:cr: CRC,5.3,0.5,16.8,1-0,1,Friendly
May 30@@24256,:gb-sct: SCO 🏡,76.0,2.5,55.88,:cw: CUW,6.4,0.6,17.5,1-0,1,Friendly
May 30@@24256,:ec: ECU,71.6,2.2,37.3172,:sa: KSA,7.8,0.6,20.6,1-0,1,Friendly
