Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
Sept. 25@@24374,:se: SWE 🏡,58.1,1.8,58.80855,:ro: ROU,16.0,0.8,25.9,1-0,6,UEFA Nations League B
Sept. 26@@24375,:mk: MKD 🏡,10.7,0.7,41.73948,:ch: SUI,67.9,2.2,21.4,0-1,6,UEFA Nations League B
Sept. 26@@24375,:cz: CZE 🏡,27.4,1.1,49.83317,:hr: CRO,43.0,1.4,29.6,0-0,6,UEFA Nations League A
Sept. 26@@24375,:bg: BUL 🏡,46.1,1.5,42.7289,:lu: LUX,24.4,1.0,29.5,0-0,6,UEFA Nations League C
Sept. 26@@24375,:sm: SMR 🏡,0.9,0.2,43.94609,:fi: FIN,91.8,3.8,7.3,0-2,6,UEFA Nations League C
Sept. 26@@24375,:al: ALB 🏡,60.3,1.7,41.20574,:by: BLR,12.9,0.6,26.9,1-0,6,UEFA Nations League C
Sept. 26@@24375,:fo: FRO 🏡,34.6,1.1,62.04065,:kz: KAZ,33.4,1.1,32.1,0-0,6,UEFA Nations League C
Sept. 26@@24375,:sk: SVK 🏡,83.3,2.9,48.66519,:md: MDA,3.3,0.4,13.4,2-0,6,UEFA Nations League C
Sept. 26@@24375,:si: SVN 🏡,32.6,1.1,46.15565,:gb-sct: SCO,35.5,1.1,31.9,0-0,6,UEFA Nations League B
Sept. 26@@24375,:gb-eng: ENG 🏡,34.7,1.2,52.5,:es: ESP,34.3,1.2,31.0,0-0,6,UEFA Nations League A
Sept. 26@@24375,:is: ISL 🏡,74.2,2.4,64.33116,:ee: EST,7.1,0.6,18.6,1-0,6,UEFA Nations League C
Sept. 27@@24376,:il: ISR 🏡,30.3,1.1,32.13433,:ie: IRL,39.6,1.3,30.1,0-0,6,UEFA Nations League B
Sept. 27@@24376,:rs: SRB 🏡,18.3,0.9,44.44791,:nl: NED,55.9,1.8,25.8,0-1,6,UEFA Nations League A
Sept. 27@@24376,:at: AUT 🏡,62.8,2.0,47.7831,:xk: KOS,13.8,0.8,23.5,1-0,6,UEFA Nations League B
Sept. 27@@24376,:gi: GIB 🏡,24.1,0.7,36.1412,:ad: AND,36.6,0.9,39.2,0-0,6,UEFA Nations League D
Sept. 27@@24376,:de: GER 🏡,70.7,2.4,50.81935,:gr: GRE,9.8,0.8,19.5,1-0,6,UEFA Nations League A
Sept. 27@@24376,:no: NOR 🏡,36.7,1.3,60.99203,:pt: POR,34.3,1.3,29.0,0-0,6,UEFA Nations League A
Sept. 27@@24376,:lt: LTU 🏡,39.6,1.1,55.17509,:az: AZE,26.9,0.9,33.5,0-0,6,UEFA Nations League D
Sept. 27@@24376,:dk: DEN 🏡,60.4,1.8,55.85131,:gb-wls: WAL,14.2,0.8,25.3,1-0,6,UEFA Nations League A
Sept. 28@@24377,:tr: TUR 🏡,38.9,1.2,39.29454,:it: ITA,29.7,1.0,31.4,0-0,6,UEFA Nations League A
Sept. 28@@24377,:ro: ROU 🏡,43.7,1.4,45.05045,:ba: BIH,26.5,1.0,29.8,0-0,6,UEFA Nations League B
Sept. 28@@24377,:se: SWE 🏡,47.4,1.6,58.80855,:pl: POL,25.1,1.1,27.5,1-0,6,UEFA Nations League B
Sept. 28@@24377,:lv: LVA 🏡,42.1,1.4,56.83152,:cy: CYP,27.8,1.1,30.1,0-0,6,UEFA Nations League C
Sept. 28@@24377,:am: ARM 🏡,40.3,1.5,40.27288,:me: MNE,31.6,1.3,28.1,0-0,6,UEFA Nations League C
Sept. 28@@24377,:ge: GEO 🏡,33.7,1.2,41.93037,:ua: UKR,35.2,1.2,31.1,0-0,6,UEFA Nations League B
Sept. 28@@24377,:gb-nir: NIR 🏡,30.8,1.1,54.58,:hu: HUN,37.7,1.2,31.5,0-0,6,UEFA Nations League B
Sept. 28@@24377,:be: BEL 🏡,21.5,1.0,50.84524,:fr: FRA,51.0,1.7,27.5,0-1,6,UEFA Nations League A
Sept. 29@@24378,:sm: SMR 🏡,0.5,0.2,43.94609,:al: ALB,93.6,4.1,5.9,0-3,6,UEFA Nations League C
Sept. 29@@24378,:md: MDA 🏡,30.0,1.0,47.16079,:fo: FRO,36.9,1.1,33.1,0-0,6,UEFA Nations League C
Sept. 29@@24378,:si: SVN 🏡,59.9,1.8,46.15565,:mk: MKD,14.7,0.8,25.4,1-0,6,UEFA Nations League B
Sept. 29@@24378,:fi: FIN 🏡,47.6,1.5,61.69732,:by: BLR,23.1,1.0,29.3,0-0,6,UEFA Nations League C
Sept. 29@@24378,:sk: SVK 🏡,70.7,2.2,48.66519,:kz: KAZ,8.7,0.6,20.5,1-0,6,UEFA Nations League C
Sept. 29@@24378,:es: ESP 🏡,78.7,2.6,39.58596,:hr: CRO,5.2,0.5,16.1,1-0,6,UEFA Nations League A
Sept. 29@@24378,:cz: CZE 🏡,9.6,0.6,49.83317,:gb-eng: ENG,68.4,2.1,22.0,0-1,6,UEFA Nations League A
Sept. 29@@24378,:gb-sct: SCO 🏡,31.7,1.1,55.88,:ch: SUI,37.8,1.3,30.5,0-0,6,UEFA Nations League B
Sept. 29@@24378,:lu: LUX 🏡,24.5,1.1,49.64531,:is: ISL,48.1,1.6,27.4,0-1,6,UEFA Nations League C
Sept. 29@@24378,:bg: BUL 🏡,60.6,1.7,42.7289,:ee: EST,13.1,0.7,26.3,1-0,6,UEFA Nations League C
Oct. 1@@24380,:gb-wls: WAL 🏡,15.1,0.8,51.75,:no: NOR,59.8,1.9,25.0,0-1,6,UEFA Nations League A
Oct. 1@@24380,:ie: IRL 🏡,31.9,1.1,53.13107,:at: AUT,36.5,1.2,31.6,0-0,6,UEFA Nations League B
Oct. 1@@24380,:mt: MLT 🏡,79.4,2.5,35.89949,:gi: GIB,4.3,0.4,16.3,1-0,6,UEFA Nations League D
Oct. 1@@24380,:dk: DEN 🏡,27.7,1.1,55.85131,:pt: POR,43.0,1.4,29.3,0-0,6,UEFA Nations League A
Oct. 1@@24380,:gr: GRE 🏡,18.7,0.9,38.6902,:nl: NED,54.0,1.7,27.2,0-1,6,UEFA Nations League A
Oct. 1@@24380,:az: AZE 🏡,85.8,3.0,40.27694,:li: LIE,2.2,0.3,12.0,2-0,6,UEFA Nations League D
Oct. 1@@24380,:de: GER 🏡,74.8,2.7,50.81935,:rs: SRB,8.1,0.7,17.1,1-0,6,UEFA Nations League A
Oct. 1@@24380,:il: ISR 🏡,35.1,1.4,32.13433,:xk: KOS,36.9,1.4,28.0,0-0,6,UEFA Nations League B
Oct. 2@@24381,:fo: FRO 🏡,12.8,0.6,62.04065,:sk: SVK,60.7,1.7,26.5,0-1,6,UEFA Nations League C
Oct. 2@@24381,:lv: LVA 🏡,28.8,1.1,56.83152,:me: MNE,40.6,1.3,30.6,0-0,6,UEFA Nations League C
Oct. 2@@24381,:fr: FRA 🏡,60.4,1.7,47.04737,:it: ITA,12.5,0.6,27.2,1-0,6,UEFA Nations League A
Oct. 2@@24381,:pl: POL 🏡,54.6,1.7,51.72587,:ro: ROU,18.3,0.9,27.2,1-0,6,UEFA Nations League B
Oct. 2@@24381,:ba: BIH 🏡,28.5,1.2,44.33118,:se: SWE,43.2,1.5,28.3,0-0,6,UEFA Nations League B
Oct. 2@@24381,:cy: CYP 🏡,39.9,1.5,35.00393,:am: ARM,32.3,1.3,27.8,0-0,6,UEFA Nations League C
Oct. 2@@24381,:kz: KAZ 🏡,67.6,2.1,46.69895,:md: MDA,10.3,0.7,22.1,1-0,6,UEFA Nations League C
Oct. 2@@24381,:ua: UKR 🏡,55.9,1.5,48.80696,:gb-nir: NIR,14.3,0.6,29.8,1-0,6,UEFA Nations League B
Oct. 2@@24381,:hu: HUN 🏡,56.7,1.9,47.31799,:ge: GEO,18.1,1.0,25.1,1-0,6,UEFA Nations League B
Oct. 2@@24381,:be: BEL 🏡,45.3,1.6,50.84524,:tr: TUR,27.5,1.2,27.2,1-0,6,UEFA Nations League A
Oct. 3@@24382,:es: ESP 🏡,88.9,3.5,39.58596,:cz: CZE,1.8,0.3,9.3,2-0,6,UEFA Nations League A
Oct. 3@@24382,:ee: EST 🏡,27.2,1.0,59.0178,:lu: LUX,41.4,1.3,31.4,0-0,6,UEFA Nations League C
Oct. 3@@24382,:mk: MKD 🏡,19.5,0.9,41.73948,:gb-sct: SCO,52.9,1.6,27.6,0-1,6,UEFA Nations League B
Oct. 3@@24382,:hr: CRO 🏡,19.0,0.8,45.21638,:gb-eng: ENG,52.2,1.5,28.8,0-1,6,UEFA Nations League A
Oct. 3@@24382,:ch: SUI 🏡,66.9,2.0,47.01849,:si: SVN,10.5,0.7,22.6,1-0,6,UEFA Nations League B
Oct. 3@@24382,:by: BLR 🏡,94.3,4.3,53.53761,:sm: SMR,0.5,0.2,5.2,3-0,6,UEFA Nations League C
Oct. 3@@24382,:is: ISL 🏡,63.3,2.0,64.33116,:bg: BUL,13.5,0.8,23.2,1-0,6,UEFA Nations League C
Oct. 3@@24382,:fi: FIN 🏡,30.5,1.0,61.69732,:al: ALB,37.1,1.1,32.5,0-0,6,UEFA Nations League C
Oct. 4@@24383,:az: AZE 🏡,45.0,1.3,40.27694,:lt: LTU,22.5,0.8,32.5,0-0,6,UEFA Nations League D
Oct. 4@@24383,:gr: GRE 🏡,14.5,0.9,38.6902,:de: GER,62.7,2.1,22.8,0-1,6,UEFA Nations League A
Oct. 4@@24383,:xk: KOS 🏡,30.5,1.2,42.57,:at: AUT,40.7,1.4,28.8,0-0,6,UEFA Nations League B
Oct. 4@@24383,:mt: MLT 🏡,58.9,1.5,35.89949,:ad: AND,11.5,0.5,29.6,1-0,6,UEFA Nations League D
Oct. 4@@24383,:nl: NED 🏡,74.5,2.5,52.09536,:rs: SRB,7.4,0.6,18.1,1-0,6,UEFA Nations League A
Oct. 4@@24383,:pt: POR 🏡,51.3,1.7,39.65553,:no: NOR,21.6,1.0,27.0,1-0,6,UEFA Nations League A
Oct. 4@@24383,:ie: IRL 🏡,55.1,1.7,53.13107,:il: ISR,17.9,0.9,27.0,1-0,6,UEFA Nations League B
Oct. 4@@24383,:gb-wls: WAL 🏡,24.1,1.0,51.75,:dk: DEN,46.5,1.5,29.5,0-0,6,UEFA Nations League A
Oct. 5@@24384,:it: ITA 🏡,43.3,1.3,42.97874,:tr: TUR,25.9,1.0,30.8,0-0,6,UEFA Nations League A
Oct. 5@@24384,:me: MNE 🏡,52.0,1.8,42.55761,:am: ARM,21.8,1.1,26.3,1-0,6,UEFA Nations League C
Oct. 5@@24384,:ua: UKR 🏡,45.8,1.5,48.80696,:hu: HUN,25.3,1.0,28.9,0-0,6,UEFA Nations League B
Oct. 5@@24384,:gb-nir: NIR 🏡,42.0,1.2,54.58,:ge: GEO,25.7,0.9,32.3,0-0,6,UEFA Nations League B
Oct. 5@@24384,:fr: FRA 🏡,66.0,2.1,47.04737,:be: BEL,11.7,0.7,22.4,1-0,6,UEFA Nations League A
Oct. 5@@24384,:cy: CYP 🏡,42.5,1.4,35.00393,:lv: LVA,27.5,1.1,30.0,0-0,6,UEFA Nations League C
Oct. 5@@24384,:ro: ROU 🏡,29.6,1.1,45.05045,:se: SWE,40.5,1.4,29.9,0-0,6,UEFA Nations League B
Oct. 5@@24384,:ba: BIH 🏡,29.9,1.2,44.33118,:pl: POL,41.5,1.5,28.6,0-0,6,UEFA Nations League B
Oct. 6@@24385,:by: BLR 🏡,35.0,1.2,53.53761,:fi: FIN,34.3,1.2,30.7,0-0,6,UEFA Nations League C
Oct. 6@@24385,:gb-eng: ENG 🏡,80.9,2.7,52.5,:cz: CZE,4.2,0.4,14.9,1-0,6,UEFA Nations League A
Oct. 6@@24385,:md: MDA 🏡,6.0,0.5,47.16079,:sk: SVK,76.0,2.4,18.0,0-1,6,UEFA Nations League C
Oct. 6@@24385,:gb-sct: SCO 🏡,55.7,1.6,55.88,:si: SVN,16.5,0.8,27.9,1-0,6,UEFA Nations League B
Oct. 6@@24385,:al: ALB 🏡,96.8,5.3,41.20574,:sm: SMR,0.2,0.1,3.0,4-0,6,UEFA Nations League C
Oct. 6@@24385,:kz: KAZ 🏡,56.7,1.6,46.69895,:fo: FRO,15.7,0.7,27.6,1-0,6,UEFA Nations League C
Oct. 6@@24385,:hr: CRO 🏡,15.5,0.8,45.21638,:es: ESP,58.9,1.8,25.6,0-1,6,UEFA Nations League A
Oct. 6@@24385,:ee: EST 🏡,18.8,0.9,59.0178,:is: ISL,54.0,1.7,27.1,0-1,6,UEFA Nations League C
Oct. 6@@24385,:lu: LUX 🏡,35.8,1.2,49.64531,:bg: BUL,33.6,1.2,30.6,0-0,6,UEFA Nations League C
Oct. 6@@24385,:ch: SUI 🏡,81.0,2.8,47.01849,:mk: MKD,4.5,0.5,14.5,2-0,6,UEFA Nations League B
Nov. 12@@24422,:it: ITA 🏡,22.5,0.8,42.97874,:fr: FRA,45.0,1.3,32.5,0-0,6,UEFA Nations League A
Nov. 12@@24422,:al: ALB 🏡,54.1,1.5,41.20574,:fi: FIN,17.1,0.7,28.8,1-0,6,UEFA Nations League C
Nov. 12@@24422,:tr: TUR 🏡,43.3,1.6,39.29454,:be: BEL,29.2,1.3,27.4,1-0,6,UEFA Nations League A
Nov. 12@@24422,:cz: CZE 🏡,7.5,0.6,49.83317,:es: ESP,73.8,2.4,18.7,0-1,6,UEFA Nations League A
Nov. 12@@24422,:am: ARM 🏡,54.0,1.8,40.27288,:cy: CYP,20.5,1.0,25.5,1-0,6,UEFA Nations League C
Nov. 12@@24422,:sm: SMR 🏡,1.5,0.3,43.94609,:by: BLR,89.0,3.3,9.5,0-2,6,UEFA Nations League C
Nov. 12@@24422,:me: MNE 🏡,52.3,1.6,42.55761,:lv: LVA,19.5,0.9,28.3,1-0,6,UEFA Nations League C
Nov. 12@@24422,:gb-eng: ENG 🏡,66.7,2.0,52.5,:hr: CRO,10.2,0.6,23.1,1-0,6,UEFA Nations League A
Nov. 13@@24423,:md: MDA 🏡,21.3,0.9,47.16079,:kz: KAZ,50.3,1.6,28.4,0-1,6,UEFA Nations League C
Nov. 13@@24423,:rs: SRB 🏡,13.9,0.9,44.44791,:de: GER,64.6,2.3,21.5,0-1,6,UEFA Nations League A
Nov. 13@@24423,:lu: LUX 🏡,49.6,1.5,49.64531,:ee: EST,20.6,0.8,29.7,1-0,6,UEFA Nations League C
Nov. 13@@24423,:sk: SVK 🏡,76.0,2.3,48.66519,:fo: FRO,5.5,0.4,18.5,1-0,6,UEFA Nations League C
Nov. 13@@24423,:bg: BUL 🏡,36.7,1.3,42.7289,:is: ISL,34.3,1.3,29.0,0-0,6,UEFA Nations League C
Nov. 13@@24423,:si: SVN 🏡,20.6,0.9,46.15565,:ch: SUI,50.9,1.6,28.5,0-1,6,UEFA Nations League B
Nov. 13@@24423,:gb-sct: SCO 🏡,72.2,2.3,55.88,:mk: MKD,8.0,0.6,19.8,1-0,6,UEFA Nations League B
Nov. 13@@24423,:ad: AND 🏡,55.3,1.3,42.52226,:gi: GIB,12.2,0.5,32.5,0-0,6,UEFA Nations League D
Nov. 13@@24423,:nl: NED 🏡,70.2,2.2,52.09536,:gr: GRE,9.0,0.6,20.8,1-0,6,UEFA Nations League A
Nov. 13@@24423,:li: LIE 🏡,6.7,0.5,47.15836,:az: AZE,72.0,2.1,21.2,0-1,6,UEFA Nations League D
Nov. 14@@24424,:pt: POR 🏡,63.0,2.0,39.65553,:dk: DEN,13.2,0.8,23.8,1-0,6,UEFA Nations League A
Nov. 14@@24424,:at: AUT 🏡,55.6,1.6,47.7831,:ie: IRL,16.8,0.8,27.7,1-0,6,UEFA Nations League B
Nov. 14@@24424,:ro: ROU 🏡,30.9,1.1,45.05045,:pl: POL,38.8,1.3,30.2,0-0,6,UEFA Nations League B
Nov. 14@@24424,:se: SWE 🏡,62.1,2.0,58.80855,:ba: BIH,14.4,0.8,23.5,1-0,6,UEFA Nations League B
Nov. 14@@24424,:ge: GEO 🏡,37.1,1.4,41.93037,:hu: HUN,34.4,1.3,28.4,0-0,6,UEFA Nations League B
Nov. 14@@24424,:xk: KOS 🏡,54.4,1.8,42.57,:il: ISR,20.1,1.0,25.5,1-0,6,UEFA Nations League B
Nov. 14@@24424,:gb-nir: NIR 🏡,28.7,0.9,54.58,:ua: UKR,36.3,1.0,35.0,0-0,6,UEFA Nations League B
Nov. 14@@24424,:no: NOR 🏡,69.4,2.2,60.99203,:gb-wls: WAL,9.6,0.7,21.0,1-0,6,UEFA Nations League A
Nov. 15@@24425,:hr: CRO 🏡,62.3,1.9,45.21638,:cz: CZE,13.4,0.8,24.3,1-0,6,UEFA Nations League A
Nov. 15@@24425,:by: BLR 🏡,25.8,0.9,53.53761,:al: ALB,41.6,1.2,32.6,0-0,6,UEFA Nations League C
Nov. 15@@24425,:be: BEL 🏡,42.1,1.3,50.84524,:it: ITA,26.6,1.0,31.2,0-0,6,UEFA Nations League A
Nov. 15@@24425,:cy: CYP 🏡,34.9,1.3,35.00393,:me: MNE,36.5,1.4,28.6,0-0,6,UEFA Nations League C
Nov. 15@@24425,:fr: FRA 🏡,65.8,2.1,47.04737,:tr: TUR,11.8,0.8,22.3,1-0,6,UEFA Nations League A
Nov. 15@@24425,:lv: LVA 🏡,33.7,1.2,56.83152,:am: ARM,36.0,1.3,30.2,0-0,6,UEFA Nations League C
Nov. 15@@24425,:es: ESP 🏡,54.0,1.6,39.58596,:gb-eng: ENG,18.3,0.8,27.8,1-0,6,UEFA Nations League A
Nov. 15@@24425,:fi: FIN 🏡,95.5,4.7,61.69732,:sm: SMR,0.3,0.2,4.2,3-0,6,UEFA Nations League C
Nov. 16@@24426,:kz: KAZ 🏡,20.2,0.9,46.69895,:sk: SVK,51.9,1.6,27.8,0-1,6,UEFA Nations League C
Nov. 16@@24426,:lt: LTU 🏡,82.6,2.7,55.17509,:li: LIE,3.2,0.4,14.2,2-0,6,UEFA Nations League D
Nov. 16@@24426,:fo: FRO 🏡,54.0,1.5,62.04065,:md: MDA,16.7,0.7,29.3,1-0,6,UEFA Nations League C
Nov. 16@@24426,:de: GER 🏡,45.9,1.8,50.81935,:nl: NED,28.2,1.3,25.9,1-0,6,UEFA Nations League A
Nov. 16@@24426,:ch: SUI 🏡,57.1,1.7,47.01849,:gb-sct: SCO,16.4,0.8,26.5,1-0,6,UEFA Nations League B
Nov. 16@@24426,:is: ISL 🏡,61.3,2.0,64.33116,:lu: LUX,15.0,0.9,23.7,1-0,6,UEFA Nations League C
Nov. 16@@24426,:gi: GIB 🏡,11.5,0.6,36.1412,:mt: MLT,63.0,1.8,25.5,0-1,6,UEFA Nations League D
Nov. 16@@24426,:ee: EST 🏡,28.5,1.0,59.0178,:bg: BUL,39.3,1.2,32.2,0-0,6,UEFA Nations League C
Nov. 16@@24426,:mk: MKD 🏡,27.6,1.1,41.73948,:si: SVN,42.5,1.4,29.9,0-0,6,UEFA Nations League B
Nov. 16@@24426,:gr: GRE 🏡,42.5,1.4,38.6902,:rs: SRB,27.3,1.0,30.3,0-0,6,UEFA Nations League A
Nov. 17@@24427,:dk: DEN 🏡,31.0,1.3,55.85131,:no: NOR,40.6,1.5,28.3,0-0,6,UEFA Nations League A
Nov. 17@@24427,:il: ISR 🏡,21.2,1.1,32.13433,:at: AUT,54.0,1.9,24.8,0-1,6,UEFA Nations League B
Nov. 17@@24427,:ie: IRL 🏡,46.2,1.3,53.13107,:xk: KOS,22.3,0.8,31.5,0-0,6,UEFA Nations League B
Nov. 17@@24427,:ua: UKR 🏡,56.8,1.7,48.80696,:ge: GEO,16.2,0.8,26.9,1-0,6,UEFA Nations League B
Nov. 17@@24427,:pl: POL 🏡,41.9,1.5,51.72587,:se: SWE,29.8,1.2,28.3,0-0,6,UEFA Nations League B
Nov. 17@@24427,:gb-wls: WAL 🏡,12.7,0.7,51.75,:pt: POR,62.4,1.9,24.9,0-1,6,UEFA Nations League A
Nov. 17@@24427,:ba: BIH 🏡,39.9,1.3,44.33118,:ro: ROU,29.8,1.1,30.3,0-0,6,UEFA Nations League B
Nov. 17@@24427,:hu: HUN 🏡,55.7,1.6,47.31799,:gb-nir: NIR,16.7,0.8,27.6,1-0,6,UEFA Nations League B
